@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
0.243408,0.630192,0.531765,1.414897,0.098131,0.297491,0.158710,0.742688,class_2
0.881013,2.177217,0.742529,2.255090,0.099265,0.311069,0.738881,1.369098,class_2
2.015831,5.322552,1.379854,3.861389,2.532544,4.682253,1.694574,4.969181,class_2
1.597531,3.450674,1.557398,2.869042,0.241803,0.515074,0.462738,1.139680,class_2
0.546218,1.295583,1.442888,2.939214,0.427632,0.721858,0.342183,0.670285,class_2
0.427400,0.994716,0.396675,1.959056,0.186842,0.409538,0.494624,1.001329,class_2
2.121508,4.831870,1.171941,3.484289,1.952941,4.611446,2.049724,4.751593,class_2
1.512295,3.750572,1.117312,2.462224,0.632000,0.996281,1.369661,4.219356,class_2
1.460836,2.958884,2.767554,3.802218,0.252252,0.501681,1.927864,2.512014,class_2
0.377609,1.510153,0.900648,2.263634,0.418651,1.690699,0.384050,1.560073,class_2
0.723377,2.820629,0.690778,2.434354,0.217742,0.458969,0.712144,2.744145,class_2
0.405973,3.226688,0.258021,2.480459,0.254545,0.541094,0.224290,1.731666,class_2
0.516588,2.052847,0.542827,1.683713,0.083333,0.276385,0.307692,1.939407,class_2
1.808642,3.484948,2.129762,4.695091,0.258621,0.510589,1.904274,2.693658,class_2
2.350254,5.113351,1.961369,5.048512,0.108000,0.323011,2.612809,6.906003,class_2
1.631450,4.091316,0.927083,3.734676,0.188406,0.577987,0.290135,1.825290,class_2
1.427381,4.027520,1.391781,5.085563,0.115044,0.393582,1.073254,4.619758,class_2
0.382831,0.783876,0.310959,0.672770,0.227642,0.498991,0.231330,0.522048,class_2
1.084786,3.378867,1.688547,4.863722,0.029412,0.168958,1.927750,4.250533,class_2
1.144133,2.811400,1.355301,2.313498,1.147287,2.212021,1.191529,2.224127,class_2
0.984887,2.319509,1.199229,3.442536,0.027344,0.163083,0.938748,2.348239,class_2
2.394796,5.583510,2.695596,4.832085,1.864641,3.588798,1.770039,4.030233,class_2
1.098485,2.922898,1.135338,3.211310,0.047794,0.213330,0.646655,1.715238,class_2
0.871094,2.753369,0.742280,2.687411,0.134615,0.434906,1.086486,3.812225,class_2
1.219178,4.273995,1.178484,3.344144,0.738220,1.758913,0.984351,2.639487,class_2
0.526744,2.417568,0.696281,1.864940,0.407514,1.378552,0.287858,1.171665,class_2
0.957105,1.168526,1.020888,1.347886,0.690789,0.680881,1.310023,5.911895,class_2
4.482759,6.123231,4.112162,5.645100,8.050000,10.301712,4.179104,7.222897,class_2
1.213768,3.522043,1.203000,3.147982,0.359375,0.621671,1.362468,2.016571,class_2
0.790909,2.685298,0.588745,2.563843,0.103093,0.304080,0.827709,2.509763,class_2
0.623656,2.680130,0.568182,2.676478,0.027778,0.164336,0.103908,0.508904,class_2
0.766187,2.162856,0.459427,1.981454,0.072072,0.258607,0.443843,2.116505,class_2
1.067568,3.440103,0.851129,2.831223,0.140000,0.483460,0.604140,3.684320,class_2
1.395833,3.810906,1.834606,4.487826,0.127737,0.354992,1.255400,5.123837,class_2
2.391924,5.609064,1.869565,6.223737,4.514286,4.584891,2.025572,5.923982,class_2
0.376623,0.886976,0.236234,1.018986,0.021853,0.146204,0.333688,0.747096,class_2
0.505721,1.709601,0.588303,1.717156,0.215909,0.586118,0.592523,1.161026,class_2
1.019380,1.845173,1.203271,1.831905,1.188776,1.659874,0.289086,0.525653,class_2
1.123145,1.691653,2.457849,2.975378,1.566116,2.072490,1.942056,2.749751,class_2
0.952333,2.968523,0.458920,2.708785,0.013485,0.115341,1.239089,3.069058,class_2
1.004021,2.516697,0.776923,2.318515,0.042587,0.201924,1.018388,1.802388,class_2
2.114206,2.763832,1.852703,2.588682,3.229730,3.114037,2.097606,4.351039,class_2
1.652079,3.776201,1.421488,3.735306,2.384328,4.217684,2.665087,4.416506,class_2
1.476626,3.574620,1.246377,3.445090,1.895105,4.015204,1.290653,3.255060,class_2
2.269720,4.403448,2.769565,5.489695,2.351562,6.361002,2.451839,2.987840,class_2
1.772840,4.936661,0.781373,2.375167,0.083333,0.285376,1.535660,2.784063,class_2
2.105943,4.612828,1.534735,5.373455,0.316940,2.172377,0.790628,2.928533,class_2
0.569892,2.165125,0.707407,2.203016,0.047101,0.228318,0.451820,0.806380,class_2
1.260638,2.850745,1.731383,2.819419,0.964539,3.250557,1.318110,2.547113,class_2
2.033512,4.778774,1.391775,4.243684,0.050926,0.219846,1.639125,4.571003,class_2
2.682432,6.018033,1.514412,4.179364,0.085185,0.279157,1.518325,4.065575,class_2
1.621053,4.145712,2.168367,4.828933,0.335951,1.463834,0.297162,2.239092,class_2
1.696570,2.816323,0.616390,1.989609,0.145985,0.427864,2.029366,6.593102,class_2
1.730667,3.633106,1.248786,2.879033,0.430314,1.332201,0.685665,1.068299,class_2
0.697872,2.637737,1.328205,4.587047,0.928571,3.741930,0.346642,0.633017,class_2
0.904643,2.336181,0.733954,2.477774,0.039216,0.194108,1.373737,4.850760,class_2
2.277929,2.950385,2.467033,3.638396,2.257576,3.661059,1.704974,2.237700,class_2
1.528610,3.557794,1.011435,3.194797,0.067376,0.250672,0.262735,0.528674,class_2
1.451743,3.428074,1.588689,5.058575,0.208333,0.426142,0.360000,0.651679,class_2
1.848564,3.423241,1.911137,5.211218,1.234483,4.669806,1.159151,1.612658,class_2
0.620823,1.680503,0.577830,1.730983,0.121849,0.339713,0.604196,2.425675,class_2
